"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Braden Holtby",8600,"Was@Phi 08:00PM ET",5.146,"Was"
"LW","Alex Ovechkin",8500,"Was@Phi 08:00PM ET",5.088,"Was"
"D","Erik Karlsson",8300,"Ott@Wpg 07:30PM ET",4.724,"Ott"
"G","Frederik Andersen",8000,"Cgy@Anh 10:00PM ET",4.149,"Anh"
"G","Craig Anderson",7900,"Ott@Wpg 07:30PM ET",4.838,"Ott"
"G","John Gibson",7900,"Cgy@Anh 10:00PM ET",4.344,"Anh"
"G","Steve Mason",7800,"Was@Phi 08:00PM ET",4.355,"Phi"
"G","Andrew Hammond",7700,"Ott@Wpg 07:30PM ET",3.610,"Ott"
"D","Mark Giordano",7400,"Cgy@Anh 10:00PM ET",4.058,"Cgy"
"G","Michal Neuvirth",7400,"Was@Phi 08:00PM ET",5.058,"Phi"
"C","Claude Giroux",7300,"Was@Phi 08:00PM ET",3.796,"Phi"
"G","Philipp Grubauer",7200,"Was@Phi 08:00PM ET",3.670,"Was"
"RW","Blake Wheeler",7100,"Ott@Wpg 07:30PM ET",4.025,"Wpg"
"G","Karri Ramo",7100,"Cgy@Anh 10:00PM ET",3.921,"Cgy"
"G","Joni Ortio",7100,"Cgy@Anh 10:00PM ET",2.944,"Cgy"
"G","Ondrej Pavelec",7000,"Ott@Wpg 07:30PM ET",3.453,"Wpg"
"LW","Johnny Gaudreau",7000,"Cgy@Anh 10:00PM ET",3.788,"Cgy"
"G","Jonas Hiller",6900,"Cgy@Anh 10:00PM ET",2.704,"Cgy"
"RW","Wayne Simmonds",6800,"Was@Phi 08:00PM ET",3.369,"Phi"
"C","Ryan Getzlaf",6700,"Cgy@Anh 10:00PM ET",3.242,"Anh"
"G","Michael Hutchinson",6700,"Ott@Wpg 07:30PM ET",3.186,"Wpg"
"RW","Corey Perry",6500,"Cgy@Anh 10:00PM ET",3.542,"Anh"
"D","Dustin Byfuglien",6500,"Ott@Wpg 07:30PM ET",3.658,"Wpg"
"G","Niklas Backstrom",6500,"Cgy@Anh 10:00PM ET",1.600,"Cgy"
"C","Evgeny Kuznetsov",6500,"Was@Phi 08:00PM ET",3.529,"Was"
"G","Chris Driedger",6400,"Ott@Wpg 07:30PM ET",2.200,"Ott"
"D","Shayne Gostisbehere",6400,"Was@Phi 08:00PM ET",3.395,"Phi"
"C","Nicklas Backstrom",6300,"Was@Phi 08:00PM ET",3.304,"Was"
"G","Anton Khudobin",6300,"Cgy@Anh 10:00PM ET",2.933,"Anh"
"LW","Jakub Voracek",6200,"Was@Phi 08:00PM ET",3.191,"Phi"
"C","Mark Scheifele",6200,"Ott@Wpg 07:30PM ET",3.571,"Wpg"
"G","Dustin Tokarski",6100,"Cgy@Anh 10:00PM ET",1.367,"Anh"
"C","Sean Monahan",6100,"Cgy@Anh 10:00PM ET",3.345,"Cgy"
"G","Jason LaBarbera",6000,"Was@Phi 08:00PM ET",0,"Phi"
